0/alpha,0/cost_critic/cost_batch,0/cost_critic/cost_batch_max,0/cpq_alpha,0/loss/actor,0/loss/alpha,0/loss/conservative_c,0/loss/cpq_alpha,0/loss/critic1,0/loss/critic2,0/loss/critic_c,0/loss/origin_critic_c,1/alpha,1/cost_critic/cost_batch,1/cost_critic/cost_batch_max,1/cpq_alpha,1/loss/actor,1/loss/alpha,1/loss/conservative_c,1/loss/cpq_alpha,1/loss/critic1,1/loss/critic2,1/loss/critic_c,1/loss/origin_critic_c,2/alpha,2/cost_critic/cost_batch,2/cost_critic/cost_batch_max,2/cpq_alpha,2/loss/actor,2/loss/alpha,2/loss/conservative_c,2/loss/cpq_alpha,2/loss/critic1,2/loss/critic2,2/loss/critic_c,2/loss/origin_critic_c,eval/episode_cost_0,eval/episode_cost_1,eval/episode_cost_2,eval/episode_cost_mean,eval/episode_length_0,eval/episode_length_1,eval/episode_length_2,eval/episode_reward_0,eval/episode_reward_1,eval/episode_reward_2,eval/episode_reward_mean,timestep
0.8789978828430185,0.24095566840446578,7.598021155994386,1.732259275436404,-18.126562737464894,-1.0794751492431383,-64.46733952713004,-64.46733952713004,7.874043859004968,8.734671180844307,64.50212221908573,0.03478272813372309,0.8789206891059873,0.9909005829319377,5.1766634534150295,1.732878430843354,-8.497551074266438,-1.0466069628585846,-63.07234016418455,-63.07234016418455,3.8693350710868843,3.575362542748449,63.17699114227284,0.1046509964615107,0.8788436636328698,1.036743805452249,5.277926940502599,1.7334973460435859,-8.015940894603728,-1.0201724098953422,-63.061177829742384,-63.061177829742384,4.198982528924936,4.024128793954853,63.1730766601564,0.11189876610785707,82.3,0.0,0.0,27.433333333333334,250.0,300.0,300.0,152.4693578692757,244.5494896540925,253.85250671496723,216.95711807944517,1000
0.6712437350749976,0.8968813295960428,22.92251572895052,5.430978475093847,-44.89066781234745,-2.72108438241482,-198.65616658020022,-198.65616658020022,32.8027584934235,33.62638441085815,198.84394020843496,0.18777357176505063,0.6711812431216237,2.8950318108797073,18.36998546886444,5.43312004232406,-19.724982758522092,-2.6721415077447848,-187.81950742340075,-187.81950742340075,9.427772193908702,9.605523053169229,188.06798989105232,0.24848255696892713,0.6711190092563637,3.0544763153791425,18.090469299316375,5.435258057832711,-18.58975322914121,-2.541508184552198,-187.7669864959712,-187.7669864959712,10.293165750503572,10.280202714920042,188.05009854125964,0.28311185002326994,234.7,244.0,164.6,214.4333333333333,300.0,300.0,246.9,606.1087713060244,709.0219034162008,561.427778731145,625.5194844844567,2000
0.505788831561804,1.4989892446398771,35.89361983108515,17.80460555362702,-69.60084146881105,-3.853236651659013,-641.2448595886236,-641.2448595886236,74.59344381713859,74.76470441055325,641.7369259643557,0.49206656057387604,0.5057403173446654,4.8352391145229205,31.504803928375257,17.81169423389436,-28.567348049163794,-4.209372695922846,-582.7609114685054,-582.7609114685054,32.625039534568785,33.090577328681974,583.2684645385754,0.5075532148927454,0.5056919123232364,5.110118163824069,30.62358543777467,17.818760461807248,-28.881466791152967,-3.920436975240707,-583.2852225952155,-583.2852225952155,31.876232640266473,32.377539437294004,583.8424034423836,0.5571813276261081,145.5,157.8,122.9,142.0666666666667,250.9,300.0,276.7,473.9354697957434,801.4689634399584,750.4944886628875,675.2996406328631,3000
0.37877592357993234,2.012497580766677,46.45808617782589,58.509316278457696,-91.0516191711424,-4.90987381339073,-2079.2960305175757,-2079.2960305175757,79.14286639785784,80.65322596359248,2080.107400390625,0.8113701868057266,0.37873928612470636,6.712874192237853,42.94816873931882,58.53262847137446,-30.929926376342806,-5.528229468822491,-1811.6928042602556,-1811.6928042602556,23.541324152946498,23.481724508285488,1812.5263629760746,0.8335584056675412,0.37870269700884673,7.101336851119981,41.34504388809194,58.55583085060122,-32.248424602508585,-5.142900714635841,-1811.6800750122088,-1811.6800750122088,26.24375166416172,26.74764428901669,1812.5859385986334,0.905864890009165,130.2,66.4,55.9,84.16666666666667,204.2,286.3,275.5,436.508731245833,714.3803062321463,669.7817163696393,606.8902512825396,4000
0.283836320638657,2.4608315452337255,56.202668338775574,139.85143832397483,-111.93239669036856,-5.4151821308136086,-4913.501040283207,-4913.501040283207,90.24231165313704,93.14291458511366,4914.566156494143,1.0651149516403664,0.28380910655856134,8.49685275363923,52.043152828216556,139.86765272522004,-40.07098486328134,-6.55472544670105,-4110.90880908203,-4110.90880908203,23.89347214508055,23.528443493843117,4112.051075927731,1.1422641895413412,0.2837818738818167,9.025999765396115,49.9679903564452,139.88377362060538,-41.510679283142096,-6.082568552494046,-4100.737239013672,-4100.737239013672,26.432656862258955,26.23715556907652,4101.962183105465,1.224946284890173,140.9,71.0,35.8,82.56666666666666,238.7,300.0,284.5,637.1869864458457,746.8517045584884,741.65816919926,708.5656200678646,5000
0.21354930388927468,2.8732439792156232,63.42805495452873,148.4131622314453,-130.65260640716536,-5.421323288440708,-5157.888953124999,-5157.888953124999,104.84397499084471,107.99575299072254,5159.186584960934,1.2976413773298248,0.21352915449440446,10.087319227218615,59.383912719726546,148.4131622314453,-49.758477207183795,-7.1078775920867905,-4145.0733410644525,-4145.0733410644525,29.872972747802734,29.73360165596012,4146.471396972654,1.3980552783012394,0.21350895226001754,10.8397908153534,57.228010540008476,148.4131622314453,-51.36156046676637,-6.568261305809015,-4109.144532958985,-4109.144532958985,35.09285190200809,34.788922756195035,4110.611657470711,1.4671252118349065,32.8,78.8,172.7,94.76666666666665,246.4,289.5,254.3,816.6983118812308,787.3263759751632,619.6132928717809,741.2126602427248,6000
0.16149035120010374,3.247529730558399,69.19112919616691,148.4131622314453,-146.6517058715819,-4.986889017343522,-5104.6419794921885,-5104.6419794921885,118.90247042846674,121.70291963958738,5106.107188964834,1.4652109475135808,0.16147540780901937,11.331491938591002,64.57992156982426,148.4131622314453,-58.397477085113536,-7.214446797370902,-3968.7501020507775,-3968.7501020507775,37.61979752159112,37.928174074173064,3970.35190258789,1.6018010384440426,0.16146040387451596,12.401172181129443,62.68185747528077,148.4131622314453,-58.901432247161885,-6.538182254791272,-3890.7356496582,-3890.7356496582,47.992520664215114,47.68957192039479,3892.473092529297,1.737442712724207,11.2,50.7,24.0,28.633333333333336,212.8,300.0,183.8,664.9186740777984,758.9675920465295,361.73561468109784,595.2072936018086,7000
0.12304723363369693,3.4590315954685265,73.74352880096448,148.4131622314453,-160.41508097839395,-4.129034228444094,-5072.3289218750015,-5072.3289218750015,132.00418923950167,133.91796266937223,5073.7859995117105,1.4570793712139112,0.12303623735904691,12.048491483688343,68.6390323448181,148.4131622314453,-66.03233465194722,-6.760597623348234,-3861.9512448730425,-3861.9512448730425,47.26650962257383,48.101965406417904,3863.609435302741,1.6581889510154713,0.12302519442141063,13.56701121807099,67.00544989395136,148.4131622314453,-63.75456350708023,-5.86435460019113,-3731.995654052732,-3731.995654052732,60.03872042465211,59.32291210174562,3733.9617055664035,1.9660530213117624,22.8,34.1,19.1,25.333333333333332,300.0,281.4,300.0,1140.8970201585767,670.5657999538628,665.3409810617757,825.6012670580717,8000
0.09487977860867967,3.4640066266059892,77.66897521591179,148.4131622314453,-172.1788004455562,-2.8443524881824827,-5071.847845214846,-5071.847845214846,140.37383209991432,141.34893726348898,5073.106782714848,1.2589438712000827,0.09487174610793578,12.200211145401008,71.43868930053716,148.4131622314453,-72.91326647186251,-5.770696179151542,-3831.761434082029,-3831.761434082029,57.84020819473266,58.495388500213664,3833.4089467773433,1.6475120655894246,0.09486364614218472,14.056917335510269,69.90875148773205,148.4131622314453,-67.15672775268544,-4.9320848158001995,-3658.5444924316394,-3658.5444924316394,66.21511138916,65.37650833511331,3660.574439453127,2.0299488586187353,0.1,43.4,28.4,23.96666666666667,284.8,300.0,271.9,999.6062890722187,709.0608078956259,618.2974164088137,775.6548377922194,9000
0.07460874694585816,3.2981019914150105,76.00235789871228,148.4131622314453,-182.48363418579086,-1.3982649556547395,-5096.045308105458,-5096.045308105458,144.50717017364522,144.9972676925661,5097.131412597641,1.0861012783050565,0.07460306935012323,12.048169378280619,73.05020454406718,148.4131622314453,-78.69063000488273,-4.31634695243836,-3844.860590087886,-3844.860590087886,70.46503511428831,70.0535110244751,3846.5065522460945,1.6459627109766028,0.07459729960560801,13.845882161140432,71.84465240859979,148.4131622314453,-70.03800094604486,-3.666985950730748,-3687.349297851565,-3687.349297851565,70.2238962554933,69.67110962295537,3689.3992304687467,2.049933676838875,0.1,63.4,0.7,21.400000000000002,295.0,300.0,242.4,934.4842230550505,783.7189372276174,516.6812750639178,744.9614784488618,10000
